x	y	z
0.00577991	0.00967986	0.00970454
0.00551848	0.00359432	0.00560999
0.007606	0.00733016	0.00600838
0.00125426	0.00519324	0.00570907
0.00267426	0.00457298	0.00420289
0.00738396	0.00616057	0.00222598
0.00726917	0.00687751	0.00947853
0.00262122	0.00505021	0.00939168
0.00383713	0.00238222	0.00549604
0.00619112	0.00498895	0.000859227
0.00868698	0.00693243	0.00310574
0.00886725	0.00873051	0.00686048
0.00934323	0.00478179	0.000924317
0.000895372	0.00832552	0.00620024
0.00741261	0.00189235	0.0055777
0.00272287	0.00630895	0.00611914
0.00018812	0.00991321	0.00423932
0.00698656	0.00933751	0.00324001
0.00689832	0.00189305	0.00505465
0.00408834	0.00993512	0.00781716
0.000479881	0.00484225	0.00823513
0.0037545	0.000750786	0.000345032
0.00457447	0.00919869	0.00169153
0.00346501	3.40847e-05	0.00458089
0.0061186	0.00171425	0.00895533
0.00806874	0.00933671	0.00870238
0.00364983	0.00663497	0.00758783
0.00542038	0.00435176	0.00820702
0.00853712	0.000517844	0.00502497
0.00308924	0.00850523	0.00467085
0.00724713	0.00372213	0.00234162
0.00651162	0.00338841	0.000654544
0.0094496	0.00101321	0.0066204
0.00688321	0.00791926	0.00600143
0.00838686	0.00664913	0.000497085
0.0015403	0.000295023	0.00977496
5.37741e-05	0.0011818	0.00389087
0.00933908	0.00766606	0.00285336
0.00599583	0.00697957	0.00195287
0.00607902	0.000708481	0.00781241
0.00165943	0.00768615	0.00700245
0.00133594	6.65101e-05	0.00590828
0.00938695	0.00233786	0.000312877
0.00578705	0.00876442	0.00107358
0.00650541	0.000159293	0.00620678
0.000876365	0.00753371	0.00226071
0.00863632	0.00697346	0.000275122
0.00920544	0.00926275	0.00851282
0.00705681	0.00431076	0.00473463
0.00900942	0.00899555	0.00597011
0.0065981	0.00627692	0.00872076
0.00516347	0.000974552	-2.31445e-05
0.00191627	0.00513431	0.0033148
0.00336704	0.00285207	0.00531895
0.00198161	0.00255255	0.0066216
0.00307714	0.00151241	0.00457467
0.00963103	0.00415633	0.00809115
0.00667187	0.00136208	0.00741436
0.000722488	0.00998974	0.00451313
0.00336355	0.00092561	0.000265931
0.00333983	0.00714795	0.00608276
0.000716228	0.00429982	0.00118625
0.00518643	0.00128476	0.00111649
0.00452223	0.00358965	0.00386374
0.00558411	0.00764037	0.00680154
0.00995429	0.0054199	0.00669557
0.00142644	0.00470737	0.00683635
0.00826321	0.000795015	0.00727874
0.00842903	0.00330534	0.00193925
0.00263854	0.0057579	0.0018066
0.00555232	0.00293322	0.0093381
0.00447856	0.00242962	0.00606835
0.00283539	0.00401119	0.0058224
0.00513809	0.00968557	0.00474747
0.00557533	0.00102871	0.00768858
0.00508246	0.00696096	0.00835282
0.00171155	0.00938257	0.00619634
0.00629647	0.00888964	0.00621634
0.0008882	0.000815509	0.000524959
0.00207277	7.33633e-05	0.00457021
0.00623455	0.00304161	0.00184724
0.0077183	0.000380085	0.00178606
0.00378131	0.00528605	3.06984e-06
0.00246789	0.00922487	0.00262672
0.00857876	0.00306783	0.00613199
0.00223622	0.00416845	0.00369302
0.00311947	0.00340753	0.00493237
0.00984555	0.00407814	0.00907151
0.00336505	0.009798	0.00468889
0.00138385	0.00667084	0.00877789
0.0019659	0.00421542	0.000261771
0.00175327	0.00233387	0.00343615
0.00355098	0.00593521	0.00904974
0.00892148	0.000252123	0.00343042
0.00835933	0.00693394	0.00386421
0.00794057	0.00704181	0.00872012
0.00915984	0.00944411	0.00443799
0.00427218	0.00690677	0.00386206
0.00721939	0.00882761	0.000360941
0.00119052	0.00756554	0.00647165
