x	y	z
0.00890372	0.00659802	0.00830866
0.00754605	0.0030772	0.0096946
0.00216218	0.00199025	0.00473215
0.00148589	0.00986834	0.0014029
0.00181804	0.00420621	0.00507779
0.00853187	0.00688803	0.000676904
0.00878156	0.00708866	0.00573794
0.00286164	0.00866906	0.0093759
0.00294879	0.000815272	0.00783667
0.00496868	0.00494995	0.00508459
0.00718437	0.000807638	0.00456959
0.00768971	0.00595855	0.00625897
0.00497785	0.00166307	0.00753408
0.00361584	0.0039996	0.001637
0.00685293	0.00117561	0.00794085
0.000709543	0.00189279	0.00318825
0.00647109	0.0059411	0.00284235
0.00483335	0.00866064	0.00207755
0.00865816	0.00325086	0.0058519
0.00116564	0.00129449	0.00717875
0.00501153	0.00941285	0.00705358
0.00359519	0.00373731	0.00835797
0.00527561	0.00513222	0.000659601
0.00972839	0.00210358	0.00742761
0.00648182	0.000765594	0.00228218
0.00402943	0.00726869	0.00840404
0.00872964	0.00873932	0.00570794
0.00988301	0.000508975	0.0097443
0.00703544	0.000375339	0.00627179
0.0024144	0.00451748	0.0048002
0.00171812	0.000819444	0.0041874
0.000520155	0.00192378	0.00484417
0.00873263	0.000663151	0.00497707
0.00761015	0.00607421	0.00282142
0.00952483	0.00489219	0.00411006
0.00477822	0.00439197	0.00838164
0.0043335	0.00337927	0.00186481
0.00753922	0.00867463	0.00192709
0.000538758	0.00723456	0.000838589
0.00300714	0.00448858	0.00435696
0.00116709	0.00808451	0.0042105
0.00416237	0.00573906	0.00387752
0.00834083	0.00292803	0.00843473
0.0096048	0.00599034	0.0060178
0.00943392	9.55082e-05	0.000558686
0.00477533	0.00850982	0.00130502
0.009571	0.00556557	0.00569872
0.00656496	0.00973236	0.00596454
0.00718732	0.00733848	0.00520726
0.00460653	0.00629401	0.00970059
0.00312004	0.00817248	0.00951713
0.00570112	0.00386333	0.00277273
0.000413803	0.000429402	0.00321991
0.00761802	0.00588376	0.00451338
3.15418e-07	0.000796153	0.00796707
0.00554314	0.00237324	0.00220856
0.00840425	0.00450849	0.0086224
0.00316083	0.00273452	0.00757409
0.00264682	0.00736958	0.00417529
0.00938622	0.00306135	0.00570879
0.00246668	0.0079482	0.00861966
0.00244583	0.00564079	0.000595977
0.00845645	0.00104813	0.000766361
0.00819934	0.0019059	0.00880512
0.00859144	0.00673812	0.00132484
0.00968432	0.00114626	0.00173346
0.00306536	0.0061996	0.0075689
0.00957174	0.00213111	0.0080292
0.00864582	0.00112976	0.00799502
0.00387311	0.00619958	0.00504914
0.00384695	0.00439855	0.00656722
0.00368614	0.00429246	0.00518566
0.0055897	0.00318148	0.000546981
0.00756952	0.00415133	0.00261813
0.0044687	0.00477045	0.00518886
0.00880337	0.00308309	0.00369273
0.0073105	0.00497431	0.00266698
0.00954202	0.00938574	0.00888013
0.000741512	0.0012026	0.00351107
0.000601039	0.00160068	0.00708626
0.00760245	0.00258353	0.000950021
0.00597327	0.00607186	0.00851407
0.00762932	3.36027e-05	0.000804681
0.00598258	0.00897457	0.00131532
0.00649216	0.00315991	0.00617794
0.00897581	0.00269628	0.000199779
0.00309127	0.00573439	0.00637862
0.00580953	0.0072426	0.00236157
0.00704346	0.00946523	0.010051
0.000921459	0.0029035	0.00752216
0.00454011	0.00901262	0.00364052
0.000188846	0.00571379	0.007842
0.00659307	0.00240334	0.00675134
0.00297091	0.00633623	0.0079113
0.00970993	0.00539805	0.00202498
0.008001	0.00708279	0.00485766
0.00838204	0.00743596	0.00463998
0.00397199	0.00825572	0.00392299
0.00153406	0.00236528	0.00487017
0.00235076	0.00268027	0.00329257
