Vx	Vy	Vz
0.0452312	0.0541126	-0.0293997
-0.0293608	-0.00745328	0.0591616
-0.0788954	-0.0773849	-0.0184921
0.00337007	0.0675157	-0.0624594
-0.0709247	-0.0231397	0.00554831
0.0591859	0.0102169	0.0220764
-12.3295	-0.000648533	-0.0554459
0.0801441	-0.0927873	-0.00022841
0.100655	-0.0578105	-0.0355901
-0.0177151	-0.000563824	0.0612365
-0.02162	0.0888545	0.0212483
0.0511196	-0.0794051	-0.00854323
-0.0823654	0.0945068	-0.0957934
0.0663583	-0.0626834	-0.0661214
-0.00842892	0.0100874	-0.094523
0.0292094	-0.0639932	0.0412744
-0.0966627	0.0611081	0.0202723
0.0312057	-0.029278	0.0775056
0.0651883	0.019687	0.011568
-0.0728118	0.119918	0.057157
0.0656761	0.0662407	-0.0171239
-0.0636042	-0.0330259	0.0735282
0.00796084	-0.0829603	0.0284446
-0.100618	-0.0338275	-0.0385796
0.00525158	0.0137548	0.0967135
-0.0585379	0.0504407	0.042596
0.0736368	-0.0305113	-0.0989061
0.0686475	-0.0557015	-0.0301398
-0.0217623	0.012951	-0.0180717
-0.069591	-0.0649132	-0.00984774
-0.0801344	-0.0674941	0.0971385
0.0868331	0.0770861	0.0607188
-0.00809471	0.00431417	0.0362805
-0.0808081	0.0267385	0.0460877
-0.0133605	-0.122279	0.145811
0.0925125	0.0694312	-0.0272718
-0.0515269	-0.0423165	0.0938342
-0.0260845	-0.0146124	-0.0712551
-0.0791309	-0.0840039	-0.0410055
0.0444829	0.0771399	0.0501012
-0.00498534	0.00589357	0.042837
-0.0407936	0.0822811	0.0282234
-0.066115	0.0318592	-0.0984981
0.0553445	0.0401753	0.0716335
0.0424423	0.00375185	0.0990891
0.0829566	0.0574194	0.0138429
-0.0266377	-0.0205583	0.078622
0.0616019	-0.014526	-0.0814672
0.00687683	0.0164019	0.0146113
-0.0937094	-0.0692308	0.0532721
0.0504066	-0.0824159	-0.011535
0.00779302	0.0704584	-0.0405202
0.0216797	0.083068	0.0950208
12.4132	0.0447278	0.01132
0.0294472	0.0254714	-0.0794109
-0.0358217	-0.0573196	0.0343154
-0.0285284	0.00510414	0.0482945
0.0508748	-0.0591346	0.00222054
-0.0491685	0.0377896	-0.00513489
-0.0871781	-0.0310242	0.0788607
0.0126496	-0.0116014	-0.0768781
0.0250666	-0.0194337	0.00855431
-0.0934292	-0.00342965	0.00507389
0.0532767	0.0801262	0.0716283
-0.0859236	-0.0820204	-0.0793719
-0.00317275	-0.0603489	-0.0711408
0.0244163	-0.0208825	-0.0808785
-0.0319171	-0.0431139	-0.0108504
0.0433898	-0.0659086	-0.0877646
0.017892	0.00640226	-0.0469938
0.0247192	0.0212385	0.0401586
-0.0115044	0.0980315	-0.0128025
-0.0398396	-0.0119533	0.0925689
-0.0342482	-0.0802057	0.0308595
-0.0160172	-0.054211	0.0363561
-0.0898972	-0.0561885	-0.073159
0.077211	-0.0743925	0.0404335
0.0116208	-0.0328813	-0.00556511
0.024712	0.0309997	-0.0586365
-0.0399603	0.0259552	-0.0363075
-0.0911846	-0.00683728	0.0130984
-0.0918414	0.0824903	-0.0975068
0.0522772	-0.0761763	0.00756134
-0.0509536	-0.00366869	-0.0578988
-0.0719462	0.0922861	0.000619822
-0.0940659	0.0155228	-0.054982
-0.000519367	-0.0337257	-0.0209533
0.0585668	-0.0446378	0.0919399
0.0533143	-0.010734	0.0777099
0.0562168	-0.0636735	0.0531178
-0.0372719	0.0695277	-0.0489616
0.0226497	-0.0489863	0.0638523
-0.0440833	-0.0511941	0.0621301
-0.0862856	-0.0966204	0.067473
-0.0287433	0.0222577	0.0875662
0.0600963	0.00058304	-0.0942036
-0.0106003	0.0311019	0.00461809
-0.00420411	0.0711612	0.00126131
-0.0823865	0.0936676	0.0764211
0.0168145	-0.070804	0.0460737
