Vx	Vy	Vz
0.0452783	-0.0540663	0.0296422
0.0293746	0.00747137	-0.0591754
-0.0788961	-0.0773905	0.0184936
0.00335112	0.0677303	0.0624152
-0.0675407	0.00710346	0.00917926
-0.0594999	-0.0103417	0.0222049
-0.0219182	0.0030595	-0.0542115
-0.0801414	-0.092791	-0.00022842
0.098714	0.0474874	0.0339112
0.0177169	-0.000564649	-0.0612372
0.0217136	-0.0887661	-0.0212307
-0.0511964	0.0792019	-0.00873166
-0.0823655	0.0945067	-0.0957935
-0.066353	0.0626946	0.0661341
-0.0084111	0.0101333	-0.0944811
-0.029195	0.0639977	-0.0412864
-0.0966601	0.0611065	0.0202651
0.0312088	0.0292632	-0.0774934
0.0651807	-0.019677	-0.0115649
0.0641543	0.0526326	-0.0181041
-0.0656759	-0.0662405	0.0171238
0.082345	0.00911444	-0.012302
0.00836684	-0.0828599	-0.029493
-0.0996692	-0.0336013	0.0388901
0.00525932	0.013749	0.0967122
0.0585402	-0.0504462	-0.0425922
0.0736204	0.0304981	-0.098942
0.0686567	0.055692	0.030143
0.0217619	0.012951	-0.0180712
-0.0713471	0.0632174	-0.00770091
-0.0801315	-0.0674992	0.097134
-0.0868327	-0.0770858	-0.0607194
-0.0088977	0.004562	0.0321969
0.0807877	0.0267455	-0.0460901
-0.00536541	-0.0801548	0.0599862
0.0925175	-0.0694456	0.027259
0.0532267	0.0405166	0.0917586
0.0260846	-0.0146141	-0.0712546
-0.0790952	-0.0842455	-0.0412255
-0.04452	-0.0771447	-0.0500789
0.00534453	-0.00588089	-0.0423196
0.0409819	0.0823066	0.0291738
-0.0574617	-0.0354188	-0.0232403
-0.0553301	-0.0402031	-0.0716559
0.0424421	0.00375169	0.0990893
0.0829567	-0.057419	0.0138445
0.0266643	0.0204877	0.0785953
0.0618234	-0.0147003	-0.0810126
0.00416683	0.0314582	0.0103552
-0.0932946	0.0689444	-0.0537893
-0.0504069	0.0824157	-0.0115365
0.00779287	-0.0704581	0.0405204
0.0216911	-0.0825471	0.0951052
-0.0616085	0.0439378	0.0116747
-0.029562	-0.0254582	0.0792503
0.0357396	0.0573885	-0.0342915
0.0285273	0.00510489	-0.0482955
-0.0508847	-0.0596708	0.00231373
0.049341	0.037972	-0.00489402
0.087285	-0.0309527	0.078882
0.0126504	-0.0116008	0.0768774
-0.0250667	-0.0194343	0.0085547
-0.0934293	0.00342963	0.00507411
-0.0532813	-0.0801435	0.071612
-0.0859235	-0.0820207	-0.0793725
-0.00362787	0.0619444	-0.0719329
-0.0237485	-0.0216542	0.0814487
0.031916	0.0430994	-0.0108732
-0.0433857	-0.0659158	0.0877557
-0.0178923	0.00640166	0.0469931
0.0247179	-0.0212375	-0.0401592
0.0115008	0.098024	0.0127983
0.0399248	0.012018	0.0925507
0.0342547	-0.0802022	-0.0308603
0.0160469	0.054229	-0.0362175
-0.0904278	0.0561272	0.0719689
0.0799445	0.064328	-0.0428139
-0.0613835	0.0241645	0.0401267
-0.0246394	-0.0307983	-0.0585251
-0.0398157	-0.0248588	0.0364447
-0.091175	0.00678243	0.0130743
-0.0918449	0.0824896	-0.0975077
-0.0527039	-0.0761199	0.00910925
0.0509359	-0.00364729	0.0577558
0.0719475	0.0922834	0.000632852
-0.0948135	0.0168938	0.055401
-0.000498492	0.0337168	-0.0209559
0.0584878	0.0448351	-0.0920596
-0.0533104	-0.0107339	0.0777114
0.00669688	0.0545991	0.0181987
0.0372471	0.0695306	0.0489461
-0.0226545	0.0489853	-0.0638525
0.0440941	0.0511889	0.06214
-0.0860653	-0.0967954	-0.0670192
0.0287361	0.0222592	0.0875823
-0.0600984	0.000586783	-0.0942019
-0.0106832	0.0307803	0.00422746
-0.00435003	0.0709975	0.000883297
-0.0823958	0.0936569	-0.076428
-0.016814	0.0708005	-0.0460738
