Iterazione	Energia	Pressione (p)	Temperatura (T)	p * V	N * kB * T
0	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
1	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
2	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
3	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
4	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
5	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
6	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
7	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
8	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
9	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
10	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
11	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
12	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
13	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
14	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
15	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
16	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
17	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
18	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
19	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
20	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
21	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
22	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
23	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
24	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
25	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
26	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
27	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
28	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
29	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
30	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
31	1.90443e-21	0.00126962	0.92887	1.26962e-21	1.28244e-21
